,PROP_OBJECT_NAME,BACNET_APPLICATION_TAG_CHARACTER_STRING
145,OBJECT_ANALOG_INPUT_3001123,NAE02/FC-1.NAE2-T1-FEC65.ZN2-T
146,OBJECT_ANALOG_INPUT_3001125,NAE02/FC-1.NAE2-T1-FEC65.ZN1-T
147,OBJECT_ANALOG_INPUT_3001141,NAE02/FC-1.NAE2-T1-FEC66.ZN2-T
148,OBJECT_ANALOG_INPUT_3001143,NAE02/FC-1.NAE2-T1-FEC66.ZN1-T
149,OBJECT_ANALOG_INPUT_3001159,NAE02/FC-1.NAE2-T1-FEC43.ZN2-T
150,OBJECT_ANALOG_INPUT_3001161,NAE02/FC-1.NAE2-T1-FEC43.ZN1-T
151,OBJECT_ANALOG_INPUT_3001177,NAE02/FC-1.NAE2-T1-FEC44.ZN2-T
152,OBJECT_ANALOG_INPUT_3001179,NAE02/FC-1.NAE2-T1-FEC44.ZN1-T
153,OBJECT_ANALOG_INPUT_3001195,NAE02/FC-1.NAE2-T1-FEC45.ZN2-T
154,OBJECT_ANALOG_INPUT_3001197,NAE02/FC-1.NAE2-T1-FEC45.ZN1-T
155,OBJECT_ANALOG_INPUT_3001213,NAE02/FC-1.NAE2-T1-FEC46.ZN2-T
156,OBJECT_ANALOG_INPUT_3001215,NAE02/FC-1.NAE2-T1-FEC46.ZN1-T
157,OBJECT_ANALOG_INPUT_3001231,NAE02/FC-1.NAE2-T1-FEC47.ZN2-T
158,OBJECT_ANALOG_INPUT_3001233,NAE02/FC-1.NAE2-T1-FEC47.ZN1-T
159,OBJECT_ANALOG_INPUT_3001249,NAE02/FC-1.NAE2-T1-FEC48.ZN2-T
160,OBJECT_ANALOG_INPUT_3001251,NAE02/FC-1.NAE2-T1-FEC48.ZN1-T
161,OBJECT_ANALOG_INPUT_3001267,NAE02/FC-1.NAE2-T1-FEC49.ZN2-T
162,OBJECT_ANALOG_INPUT_3001269,NAE02/FC-1.NAE2-T1-FEC49.ZN1-T
163,OBJECT_ANALOG_INPUT_3001285,NAE02/FC-1.NAE2-T1-FEC50.ZN2-T
164,OBJECT_ANALOG_INPUT_3001287,NAE02/FC-1.NAE2-T1-FEC50.ZN1-T
165,OBJECT_ANALOG_INPUT_3001303,NAE02/FC-1.NAE2-T1-FEC51.ZN2-T
166,OBJECT_ANALOG_INPUT_3001305,NAE02/FC-1.NAE2-T1-FEC51.ZN1-T
167,OBJECT_ANALOG_INPUT_3001321,NAE02/FC-1.NAE2-T1-FEC52.ZN2-T
168,OBJECT_ANALOG_INPUT_3001323,NAE02/FC-1.NAE2-T1-FEC52.ZN1-T
169,OBJECT_ANALOG_INPUT_3001339,NAE02/FC-1.NAE2-T1-FEC53.ZN2-T
170,OBJECT_ANALOG_INPUT_3001341,NAE02/FC-1.NAE2-T1-FEC53.ZN1-T
171,OBJECT_ANALOG_INPUT_3001352,NAE02/FC-1.NAE2-T1-FEC54.FLOOR-P1
172,OBJECT_ANALOG_INPUT_3001355,NAE02/FC-1.NAE2-T1-FEC54.FLOOR-P2
173,OBJECT_ANALOG_INPUT_3001366,NAE02/FC-1.NAE2-T1-FEC54.RA-CO2A
