,PROP_OBJECT_NAME,BACNET_APPLICATION_TAG_CHARACTER_STRING
143,OBJECT_ANALOG_OUTPUT_3000070,NAE08/FC-1.NAE8-T1-FEC71.DAD1-O
144,OBJECT_ANALOG_OUTPUT_3000083,NAE08/FC-1.NAE8-T1-FEC72.SUPHTG2-%
145,OBJECT_ANALOG_OUTPUT_3000084,NAE08/FC-1.NAE8-T1-FEC72.ZN2-DAD-%
146,OBJECT_ANALOG_OUTPUT_3000085,NAE08/FC-1.NAE8-T1-FEC72.SUPHTG1-%
147,OBJECT_ANALOG_OUTPUT_3000087,NAE08/FC-1.NAE8-T1-FEC72.DAD1-O
148,OBJECT_ANALOG_OUTPUT_3000100,NAE08/FC-1.NAE8-T1-FEC73.SUPHTG2-%
149,OBJECT_ANALOG_OUTPUT_3000101,NAE08/FC-1.NAE8-T1-FEC73.ZN2-DAD-%
150,OBJECT_ANALOG_OUTPUT_3000102,NAE08/FC-1.NAE8-T1-FEC73.SUPHTG1-%
151,OBJECT_ANALOG_OUTPUT_3000104,NAE08/FC-1.NAE8-T1-FEC73.DAD1-O
152,OBJECT_ANALOG_OUTPUT_3000117,NAE08/FC-1.NAE8-T1-FEC74.SUPHTG2-%
153,OBJECT_ANALOG_OUTPUT_3000118,NAE08/FC-1.NAE8-T1-FEC74.ZN2-DAD-%
154,OBJECT_ANALOG_OUTPUT_3000119,NAE08/FC-1.NAE8-T1-FEC74.SUPHTG1-%
155,OBJECT_ANALOG_OUTPUT_3000121,NAE08/FC-1.NAE8-T1-FEC74.DAD1-O
156,OBJECT_ANALOG_OUTPUT_3000134,NAE08/FC-1.NAE8-T1-FEC75.SUPHTG2-%
157,OBJECT_ANALOG_OUTPUT_3000135,NAE08/FC-1.NAE8-T1-FEC75.ZN2-DAD-%
158,OBJECT_ANALOG_OUTPUT_3000136,NAE08/FC-1.NAE8-T1-FEC75.SUPHTG1-%
159,OBJECT_ANALOG_OUTPUT_3000138,NAE08/FC-1.NAE8-T1-FEC75.DAD1-O
160,OBJECT_ANALOG_OUTPUT_3000151,NAE08/FC-1.NAE8-T1-FEC76.SUPHTG2-%
161,OBJECT_ANALOG_OUTPUT_3000152,NAE08/FC-1.NAE8-T1-FEC76.ZN2-DAD-%
162,OBJECT_ANALOG_OUTPUT_3000153,NAE08/FC-1.NAE8-T1-FEC76.SUPHTG1-%
163,OBJECT_ANALOG_OUTPUT_3000155,NAE08/FC-1.NAE8-T1-FEC76.DAD1-O
164,OBJECT_ANALOG_OUTPUT_3000168,NAE08/FC-1.NAE8-T1-FEC77.SUPHTG2-%
165,OBJECT_ANALOG_OUTPUT_3000169,NAE08/FC-1.NAE8-T1-FEC77.ZN2-DAD-%
166,OBJECT_ANALOG_OUTPUT_3000170,NAE08/FC-1.NAE8-T1-FEC77.SUPHTG1-%
167,OBJECT_ANALOG_OUTPUT_3000172,NAE08/FC-1.NAE8-T1-FEC77.DAD1-O
168,OBJECT_ANALOG_OUTPUT_3000185,NAE08/FC-1.NAE8-T1-FEC78.SUPHTG2-%
