,PROP_OBJECT_NAME,BACNET_APPLICATION_TAG_CHARACTER_STRING
145,OBJECT_ANALOG_INPUT_3001046,NAE03/FC-1.NAE3-T1-FEC12.ZN2-T
146,OBJECT_ANALOG_INPUT_3001048,NAE03/FC-1.NAE3-T1-FEC12.ZN1-T
147,OBJECT_ANALOG_INPUT_3001064,NAE03/FC-1.NAE3-T1-FEC13.ZN2-T
148,OBJECT_ANALOG_INPUT_3001066,NAE03/FC-1.NAE3-T1-FEC13.ZN1-T
149,OBJECT_ANALOG_INPUT_3001082,NAE03/FC-1.NAE3-T1-FEC14.ZN2-T
150,OBJECT_ANALOG_INPUT_3001084,NAE03/FC-1.NAE3-T1-FEC14.ZN1-T
151,OBJECT_ANALOG_INPUT_3001095,NAE03/FC-1.NAE3-T1-FEC15.FLOOR-P1
152,OBJECT_ANALOG_INPUT_3001098,NAE03/FC-1.NAE3-T1-FEC15.FLOOR-P2
153,OBJECT_ANALOG_INPUT_3001109,NAE03/FC-1.NAE3-T1-FEC15.RA-CO2A
154,OBJECT_ANALOG_INPUT_3001110,NAE03/FC-1.NAE3-T1-FEC15.RA-CO2B
155,OBJECT_ANALOG_INPUT_3001111,NAE03/FC-1.NAE3-T1-FEC15.RA-CO2C
156,OBJECT_ANALOG_INPUT_3001112,NAE03/FC-1.NAE3-T1-FEC15.RA-CO2D
157,OBJECT_ANALOG_INPUT_3001113,NAE03/FC-1.NAE3-T1-FEC15.RA-CO2E
158,OBJECT_ANALOG_INPUT_3001115,NAE03/FC-1.NAE3-T1-FEC15.SA-T
159,OBJECT_ANALOG_INPUT_3001118,NAE03/FC-1.NAE3-T1-FEC15.ZN1-T
160,OBJECT_ANALOG_INPUT_3001120,NAE03/FC-1.NAE3-T1-FEC15.ZN2-T
161,OBJECT_ANALOG_INPUT_3001122,NAE03/FC-1.NAE3-T1-FEC15.ZN3-T
162,OBJECT_ANALOG_INPUT_3001124,NAE03/FC-1.NAE3-T1-FEC15.ZN4-T
163,OBJECT_ANALOG_INPUT_3001131,NAE03/FC-1.NAE3-T1-FEC15.OA-F
164,OBJECT_ANALOG_INPUT_3001150,NAE03/FC-1.NAE3-T1-FEC4.ZN2-T
165,OBJECT_ANALOG_INPUT_3001152,NAE03/FC-1.NAE3-T1-FEC4.ZN1-T
166,OBJECT_ANALOG_INPUT_3001168,NAE03/FC-1.NAE3-T1-FEC5.ZN2-T
167,OBJECT_ANALOG_INPUT_3001170,NAE03/FC-1.NAE3-T1-FEC5.ZN1-T
168,OBJECT_ANALOG_INPUT_3001186,NAE03/FC-1.NAE3-T1-FEC6.ZN2-T
169,OBJECT_ANALOG_INPUT_3001188,NAE03/FC-1.NAE3-T1-FEC6.ZN1-T
170,OBJECT_ANALOG_INPUT_3001204,NAE03/FC-1.NAE3-T1-FEC7.ZN2-T
171,OBJECT_ANALOG_INPUT_3001206,NAE03/FC-1.NAE3-T1-FEC7.ZN1-T
172,OBJECT_ANALOG_INPUT_3001222,NAE03/FC-1.NAE3-T1-FEC8.ZN2-T
173,OBJECT_ANALOG_INPUT_3001224,NAE03/FC-1.NAE3-T1-FEC8.ZN1-T
174,OBJECT_ANALOG_INPUT_3001240,NAE03/FC-1.NAE3-T1-FEC9.ZN2-T
175,OBJECT_ANALOG_INPUT_3001242,NAE03/FC-1.NAE3-T1-FEC9.ZN1-T
176,OBJECT_ANALOG_INPUT_3001254,NAE03/FC-1.NAE03-T1-VMA16.DA-VP
177,OBJECT_ANALOG_INPUT_3001262,NAE03/FC-1.NAE03-T1-VMA29.DA-VP
178,OBJECT_ANALOG_INPUT_3001270,NAE03/FC-1.NAE03-T1-VMA30.DA-VP
179,OBJECT_ANALOG_INPUT_3001278,NAE03/FC-2.NAE03-T2-VMA4.DA-VP
180,OBJECT_ANALOG_INPUT_3001286,NAE03/FC-2.NAE03-T2-VMA29.DA-VP
181,OBJECT_ANALOG_INPUT_3001427,NAE03/FC-1.NAE03-T1-VMA16.ZN-T
182,OBJECT_ANALOG_INPUT_3001435,NAE03/FC-1.NAE03-T1-VMA29.ZN-T
183,OBJECT_ANALOG_INPUT_3001436,NAE03/FC-1.NAE03-T1-VMA30.ZN-T
184,OBJECT_ANALOG_INPUT_3001868,NAE03/FC-2.26-BTU Meter.Analog Inputs.AI-4
185,OBJECT_ANALOG_INPUT_3001869,NAE03/FC-2.26-BTU Meter.Analog Inputs.AI-3
186,OBJECT_ANALOG_INPUT_3001870,NAE03/FC-2.26-BTU Meter.Analog Inputs.AI-2
187,OBJECT_ANALOG_INPUT_3001871,NAE03/FC-2.26-BTU Meter.Analog Inputs.AI-1
188,OBJECT_ANALOG_INPUT_3001875,NAE03/FC-2.CU-26.OA-F
189,OBJECT_ANALOG_INPUT_3001879,NAE03/FC-2.CU-26.RA-CO2E
190,OBJECT_ANALOG_INPUT_3001880,NAE03/FC-2.CU-26.RA-CO2D
191,OBJECT_ANALOG_INPUT_3001881,NAE03/FC-2.CU-26.ZN2-T
192,OBJECT_ANALOG_INPUT_3001882,NAE03/FC-2.CU-26.ZN1-T
193,OBJECT_ANALOG_INPUT_3001883,NAE03/FC-2.CU-26.ZN3-T
194,OBJECT_ANALOG_INPUT_3001884,NAE03/FC-2.CU-26.ZN4-T
195,OBJECT_ANALOG_INPUT_3001889,NAE03/FC-2.CU-26.FLOOR-P1
196,OBJECT_ANALOG_INPUT_3001890,NAE03/FC-2.CU-26.FLOOR-P2
197,OBJECT_ANALOG_INPUT_3001891,NAE03/FC-2.CU-26.SA-T
198,OBJECT_ANALOG_INPUT_3001894,NAE03/FC-2.CU-26.RA-CO2A
199,OBJECT_ANALOG_INPUT_3001897,NAE03/FC-2.CU-26.RA-CO2B
200,OBJECT_ANALOG_INPUT_3001917,NAE03/FC-2.CU-26.RA-CO2C
201,OBJECT_ANALOG_INPUT_3001921,NAE03/FC-2.26-UP-30.ZN1-T
202,OBJECT_ANALOG_INPUT_3001923,NAE03/FC-2.26-UP-30.ZN3-T
203,OBJECT_ANALOG_INPUT_3001967,NAE03/FC-2.26-UP-30.ZN2-Q
204,OBJECT_ANALOG_INPUT_3001969,NAE03/FC-2.26-UP-31.ZN1-T
205,OBJECT_ANALOG_INPUT_3001971,NAE03/FC-2.26-UP-31.ZN2-T
206,OBJECT_ANALOG_INPUT_3002006,NAE03/FC-2.26-UP-31.ZN-Q
207,OBJECT_ANALOG_INPUT_3002008,NAE03/FC-2.26-UP-32.ZN1-T
208,OBJECT_ANALOG_INPUT_3002049,NAE03/FC-2.26-UP-32.ZN2-Q
209,OBJECT_ANALOG_INPUT_3002051,NAE03/FC-2.26-UP-33.ZN1-T
210,OBJECT_ANALOG_INPUT_3002053,NAE03/FC-2.26-UP-33.ZN2-T
211,OBJECT_ANALOG_INPUT_3002089,NAE03/FC-2.26-UP-34.ZN1-T
212,OBJECT_ANALOG_INPUT_3002132,NAE03/FC-2.26-UP-34.ZN2-Q
213,OBJECT_ANALOG_INPUT_3002141,NAE03/FC-2.26-UP-34.ZN3-Q
214,OBJECT_ANALOG_INPUT_3002143,NAE03/FC-2.26-UP-35.ZN1-T
215,OBJECT_ANALOG_INPUT_3002145,NAE03/FC-2.26-UP-35.ZN2-T
216,OBJECT_ANALOG_INPUT_3002181,NAE03/FC-2.26-UP-36.ZN1-T
217,OBJECT_ANALOG_INPUT_3002183,NAE03/FC-2.26-UP-36.ZN4-T
218,OBJECT_ANALOG_INPUT_3002229,NAE03/FC-2.26-UP-36.ZN2-Q
219,OBJECT_ANALOG_INPUT_3002238,NAE03/FC-2.26-UP-36.ZN3-Q
220,OBJECT_ANALOG_INPUT_3002240,NAE03/FC-2.26-UP-37.ZN1-T
221,OBJECT_ANALOG_INPUT_3002242,NAE03/FC-2.26-UP-37.ZN2-T
222,OBJECT_ANALOG_INPUT_3002278,NAE03/FC-2.26-UP-38.ZN1-T
223,OBJECT_ANALOG_INPUT_3002280,NAE03/FC-2.26-UP-38.ZN2-T
224,OBJECT_ANALOG_INPUT_3002317,NAE03/FC-2.26-UP-39.ZN1-T
225,OBJECT_ANALOG_INPUT_3002319,NAE03/FC-2.26-UP-39.ZN2-T
226,OBJECT_ANALOG_INPUT_3002354,NAE03/FC-2.26-UP-40.ZN1-T
227,OBJECT_ANALOG_INPUT_3002395,NAE03/FC-2.26-UP-40.ZN2-Q
228,OBJECT_ANALOG_INPUT_3002397,NAE03/FC-2.VAV26.ZN-T
229,OBJECT_ANALOG_INPUT_3002399,NAE03/FC-2.VAV26.DA-VP
230,OBJECT_ANALOG_INPUT_3002440,NAE03/FC-2.26-UP-45.ZN1-T
231,OBJECT_ANALOG_INPUT_3002483,NAE03/FC-2.26-UP-45.ZN2-Q
232,OBJECT_ANALOG_INPUT_3002492,NAE03/FC-2.26-UP-45.ZN3-Q
233,OBJECT_ANALOG_INPUT_3002503,NAE03/FC-2.26-UP-46.ZN1-T
234,OBJECT_ANALOG_INPUT_3002546,NAE03/FC-2.26-UP-46.ZN2-Q
235,OBJECT_ANALOG_INPUT_3002555,NAE03/FC-2.26-UP-46.ZN3-Q
236,OBJECT_ANALOG_INPUT_3002557,NAE03/FC-2.26-UP-47.ZN1-T
237,OBJECT_ANALOG_INPUT_3002559,NAE03/FC-2.26-UP-47.ZN3-T
238,OBJECT_ANALOG_INPUT_3002603,NAE03/FC-2.26-UP-47.ZN2-Q
239,OBJECT_ANALOG_INPUT_3002605,NAE03/FC-2.26-UP-48.ZN1-T
240,OBJECT_ANALOG_INPUT_3002607,NAE03/FC-2.26-UP-48.ZN3-T
241,OBJECT_ANALOG_INPUT_3002651,NAE03/FC-2.26-UP-48.ZN2-Q
242,OBJECT_ANALOG_INPUT_3002653,NAE03/FC-2.26-UP-49.ZN1-T
243,OBJECT_ANALOG_INPUT_3002694,NAE03/FC-2.26-UP-49.ZN2-Q
244,OBJECT_ANALOG_INPUT_3002697,NAE03/FC-2.26-UP-50.ZN1-T
245,OBJECT_ANALOG_INPUT_3002699,NAE03/FC-2.26-UP-50.ZN3-T
246,OBJECT_ANALOG_INPUT_3002743,NAE03/FC-2.26-UP-50.ZN2-Q
247,OBJECT_ANALOG_INPUT_3002777,NAE03/FC-2.26-FCU-56.ZN-T
248,OBJECT_ANALOG_INPUT_3002809,NAE03/FC-2.26-FCU-57.ZN-T
249,OBJECT_ANALOG_INPUT_3002946,NAE03/FC-2.NAE03-T2-VMA4.ZN-T
250,OBJECT_ANALOG_INPUT_3002947,NAE03/FC-2.NAE03-T2-VMA29.ZN-T
251,OBJECT_ANALOG_INPUT_3005534,NAE03/FC-2.26-UP-68.ZN1-T
252,OBJECT_ANALOG_INPUT_3005535,NAE03/FC-2.26-UP-68.ZN2-T
253,OBJECT_ANALOG_INPUT_3005555,NAE03/FC-2.26-FCU-65.ZN-T
254,OBJECT_ANALOG_INPUT_3005575,NAE03/FC-2.26-FCU-63.ZN-T
255,OBJECT_ANALOG_INPUT_3005589,NAE03/FC-2.26-UP-62.ZN1-Q
